id,url,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace area,Garden,Garden area,Surface of the land,Surface area of the plot of land,Number of facades ,Swimming pool,State of the building
10122155,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/sterrebeek/1933/10122155?searchId=63393c00d78f8,1933,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,False,False,,,,,,,1,,
10102594,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10102594?searchId=63393c00d78f8,1050,APARTMENT,APARTMENT,395000,residential_sale,,85,USA_HYPER_EQUIPPED,False,False,True,4,,,,,2,,GOOD
10122283,https://www.immoweb.be/en/classified/house/for-sale/durbuy/6941/10122283?searchId=63393c00d78f8,6941,HOUSE,HOUSE,550000,residential_sale,,330,USA_HYPER_EQUIPPED,False,False,True,,True,1110,1110,1110,3,False,AS_NEW
10140554,https://www.immoweb.be/en/classified/apartment/for-sale/auderghem/1160/10140554?searchId=63393c00d78f8,1160,APARTMENT,APARTMENT,322000,residential_sale,,66,USA_HYPER_EQUIPPED,False,False,True,10,,,,,,False,
10130500,https://www.immoweb.be/en/classified/house/for-sale/la-roche-en-ardenne/6980/10130500?searchId=63393c00d78f8,6980,HOUSE,HOUSE,225000,residential_sale,,300,NOT_INSTALLED,False,False,,,True,700,780,780,3,False,TO_RENOVATE
10130224,https://www.immoweb.be/en/classified/house/for-sale/saint-josse-ten-noode/1210/10130224?searchId=63393c00d78f8,1210,HOUSE,HOUSE,495000,residential_sale,,191,USA_HYPER_EQUIPPED,False,False,True,20,True,50,136,136,2,False,AS_NEW
10130723,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/10130723?searchId=63393c00d78f8,1040,HOUSE,HOUSE,550000,residential_sale,,200,SEMI_EQUIPPED,False,False,,,True,60,200,200,2,False,TO_RENOVATE
10130217,https://www.immoweb.be/en/classified/house/for-sale/kraainem/1950/10130217?searchId=63393c00d78f8,1950,HOUSE,HOUSE,1400000,residential_sale,7,450,USA_INSTALLED,,False,True,,True,550,873,873,4,False,GOOD
10145283,https://www.immoweb.be/en/classified/apartment/for-sale/gent-sint-denijs-westrem/9051/10145283?searchId=63393c00d78f8,9051,APARTMENT,APARTMENT,369000,residential_sale,,85,HYPER_EQUIPPED,False,False,True,5,,,,,2,False,AS_NEW
10145280,https://www.immoweb.be/en/classified/apartment/for-sale/gent-sint-denijs-westrem/9051/10145280?searchId=63393c00d78f8,9051,APARTMENT,APARTMENT,370000,residential_sale,,85,HYPER_EQUIPPED,False,False,True,8,,,,,2,False,AS_NEW
